City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Port Blair,HT,11.6667,92.75,80.64,65,75,6.91,broken clouds
118,Moosomin,HT,50.1333,-101.6677,-9.47,99,13,4.52,few clouds
119,Arraial Do Cabo,HT,-22.9661,-42.0278,75.16,94,100,6.91,mist
120,Dikson,HT,73.5069,80.5464,-11.43,93,100,21.88,overcast clouds
121,Roald,HT,62.5833,6.1333,42.75,81,40,10.36,scattered clouds
122,Erzin,HT,36.9559,36.2,61.14,37,0,1.28,clear sky
123,Los Llanos De Aridane,HT,28.6585,-17.9182,70.12,60,20,7.0,few clouds
124,Przasnysz,HT,53.0191,20.8803,46.38,75,92,12.77,overcast clouds
125,Havelock,HT,34.8791,-76.9013,51.78,87,100,0.0,overcast clouds
126,Bathsheba,HT,13.2167,-59.5167,77.61,88,40,17.27,light rain
127,Ahipara,HT,-35.1667,173.1667,62.53,91,23,6.08,few clouds
128,Pangnirtung,HT,66.1451,-65.7125,-20.7,99,92,2.93,overcast clouds
129,Biograd Na Moru,HT,43.9433,15.4519,61.75,77,73,17.54,light rain
130,Ulety,HT,51.3572,112.4849,7.2,85,41,9.95,scattered clouds
131,Comodoro Rivadavia,HT,-45.8667,-67.5,60.66,36,0,19.57,clear sky
132,San Patricio,HT,28.017,-97.5169,62.83,94,100,7.0,overcast clouds
133,Hithadhoo,HT,-0.6,73.0833,80.73,71,13,3.2,few clouds
134,Parauna,HT,-16.9478,-50.4486,74.64,82,100,6.44,overcast clouds
135,Castro,HT,-24.7911,-50.0119,67.44,71,82,7.31,broken clouds
136,Kupino,HT,54.3663,77.2981,-12.28,100,91,1.28,overcast clouds
137,Palmer,HT,42.1584,-72.3287,43.66,71,100,0.0,overcast clouds
138,Sri Aman,HT,1.2376,111.4621,78.85,83,100,2.3,overcast clouds
139,Severo-Kurilsk,HT,50.6789,156.125,24.57,74,100,23.24,overcast clouds
140,Rocha,HT,-34.4833,-54.3333,75.65,36,0,12.8,clear sky
141,Zafra,HT,38.4167,-6.4167,58.91,51,95,12.24,overcast clouds
142,Bengkulu,HT,-3.8004,102.2655,76.82,88,80,12.3,broken clouds
143,Calvinia,HT,-31.4707,19.776,82.49,10,43,3.47,scattered clouds
144,Tak,HT,16.5833,98.8333,73.11,71,86,3.15,overcast clouds
145,Broome,HT,42.2506,-75.833,43.81,79,71,1.01,broken clouds
146,Waitara,HT,-38.925,174.25,63.23,72,13,22.75,few clouds
147,Newport,HT,51.5877,-2.9984,55.02,94,100,30.33,overcast clouds
148,Beloha,HT,-25.1667,45.05,93.49,31,0,14.05,clear sky
149,Vammala,HT,61.3333,22.9,38.1,97,100,7.45,overcast clouds
150,Zwedru,HT,6.0667,-8.1281,92.88,30,51,5.32,broken clouds
151,Tuatapere,HT,-46.1333,167.6833,46.27,89,69,3.29,broken clouds
152,San Carlos De Bariloche,HT,-41.1456,-71.3082,56.95,47,0,16.11,clear sky
153,Paragominas,HT,-2.9667,-47.4833,78.06,83,91,4.63,overcast clouds
154,Lagoa,HT,39.05,-27.9833,58.28,76,100,31.9,overcast clouds
155,Sao Gabriel Da Cachoeira,HT,-0.1303,-67.0892,74.34,95,90,1.66,overcast clouds
156,Kamenka,HT,51.3223,42.7678,33.21,100,100,10.63,overcast clouds
157,Kuandian,HT,40.7286,124.7847,10.56,87,1,1.21,clear sky
158,Jardanhaza,HT,48.15,20.25,37.45,93,100,1.66,overcast clouds
159,Isangel,HT,-19.55,169.2667,80.76,85,75,15.08,broken clouds
160,Yulara,HT,-25.2406,130.9889,83.89,34,99,17.09,overcast clouds
161,Cabo San Lucas,HT,22.8909,-109.9124,67.51,68,79,9.33,broken clouds
162,Praia,HT,14.9215,-23.5087,75.74,53,20,12.66,few clouds
163,Saint George,HT,37.1041,-113.5841,38.25,90,100,3.44,overcast clouds
164,Yumen,HT,40.2833,97.2,17.13,53,25,13.67,scattered clouds
165,Saint-Joseph,HT,-21.3667,55.6167,80.98,79,41,2.1,light rain
166,Talnakh,HT,69.4865,88.3972,-19.91,94,42,7.11,scattered clouds
167,Tecoanapa,HT,16.5167,-98.75,73.36,67,95,3.11,overcast clouds
168,Antofagasta,HT,-23.65,-70.4,65.48,70,36,4.34,scattered clouds
169,Labuhan,HT,-6.8844,112.2051,78.39,87,100,15.75,overcast clouds
170,Plouzane,HT,48.3833,-4.6167,55.72,100,100,25.32,overcast clouds
171,Port Lincoln,HT,-34.7333,135.8667,62.02,75,0,16.67,clear sky
172,San Quintin,HT,30.4833,-115.95,57.7,79,40,9.08,scattered clouds
173,Guerrero Negro,HT,27.9769,-114.0611,57.78,77,5,10.49,clear sky
174,Turukhansk,HT,65.8167,87.9833,-17.14,83,12,7.7,few clouds
175,Hofn,HT,64.2539,-15.2082,15.82,53,0,23.02,clear sky
176,Torbay,HT,47.6666,-52.7314,24.28,83,75,6.91,broken clouds
177,Yar-Sale,HT,66.8333,70.8333,-25.4,100,42,5.82,scattered clouds
178,Banjar,HT,-8.19,114.9675,77.85,92,100,6.29,moderate rain
179,Majene,HT,-3.5403,118.9707,78.48,82,100,11.12,overcast clouds
180,Jalpa,HT,21.6333,-102.9667,48.02,66,26,0.27,scattered clouds
181,La Union,HT,-5.4,-80.75,70.41,76,24,8.32,few clouds
182,Caronport,HT,50.4501,-105.8179,5.18,98,39,5.64,scattered clouds
183,Nabire,HT,-3.3667,135.4833,76.77,89,79,0.83,broken clouds
184,Burnie,HT,-41.0667,145.9167,63.95,78,98,10.47,overcast clouds
185,Alibag,HT,18.6411,72.8792,87.87,57,1,12.12,clear sky
186,Ashtabula,HT,41.7001,-80.7665,55.96,62,100,10.36,overcast clouds
187,Porto Novo,HT,6.4965,2.6036,94.23,16,15,3.71,few clouds
188,Cayenne,HT,4.9333,-52.3333,78.84,94,20,0.0,few clouds
189,Katherine,HT,-14.4667,132.2667,77.32,83,40,8.05,scattered clouds
190,Qaanaaq,HT,77.484,-69.3632,-23.78,71,25,6.6,scattered clouds
191,Vardo,HT,70.3705,31.1107,26.58,80,20,26.46,few clouds
192,Bethanien,HT,-26.502,17.1583,94.14,12,0,6.44,clear sky
193,Faanui,HT,-16.4833,-151.75,80.47,76,70,14.45,light rain
194,Zhanakorgan,HT,43.9098,67.2495,35.49,79,100,15.52,overcast clouds
195,Teya,HT,60.3778,92.6267,-19.35,100,92,2.82,overcast clouds
196,Dingle,HT,10.9995,122.6711,76.15,92,93,5.79,overcast clouds
197,Lavrentiya,HT,65.5833,-171.0,-8.57,87,84,9.08,broken clouds
198,Saint-Philippe,HT,-21.3585,55.7679,83.79,80,54,3.85,light rain
199,Tautira,HT,-17.7333,-149.15,79.81,78,32,15.41,scattered clouds
200,Phan Thiet,HT,10.9333,108.1,74.16,78,100,0.45,overcast clouds
201,Cidreira,HT,-30.1811,-50.2056,72.54,63,0,11.18,clear sky
202,Quelimane,HT,-17.8786,36.8883,91.35,66,75,5.75,thunderstorm
203,Safaga,HT,26.7292,33.9365,72.07,38,0,14.7,clear sky
204,Nome,HT,64.5011,-165.4064,10.47,85,40,11.5,scattered clouds
205,Sur,HT,22.5667,59.5289,73.69,48,1,12.86,clear sky
206,Malaryta,HT,51.7905,24.074,40.78,81,100,12.84,overcast clouds
207,Guarapari,HT,-20.6667,-40.4975,81.9,79,100,5.44,overcast clouds
208,Garanhuns,HT,-8.8903,-36.4928,75.27,65,98,8.34,overcast clouds
209,Gat,HT,31.61,34.7642,65.8,22,0,6.64,clear sky
210,Severo-Yeniseyskiy,HT,60.3725,93.0408,-25.22,100,80,3.51,broken clouds
211,Miram Shah,HT,33.0086,70.0697,52.27,57,0,3.85,clear sky
212,Mackay,HT,-21.15,149.2,78.67,85,59,13.94,broken clouds
213,Newmarket,HT,44.0501,-79.4663,47.32,89,100,11.03,overcast clouds
214,Peleduy,HT,59.6289,112.7406,-19.25,99,100,2.55,overcast clouds
215,Thunder Bay,HT,48.4001,-89.3168,30.18,86,75,11.5,broken clouds
216,Hervey Bay,HT,-25.2986,152.8535,74.64,83,93,17.74,overcast clouds
217,Naryan-Mar,HT,67.6713,53.087,-3.17,93,98,10.25,overcast clouds
218,Griffith,HT,41.5284,-87.4237,55.89,87,100,13.8,overcast clouds
219,Beira,HT,-19.8436,34.8389,91.49,62,20,13.8,few clouds
220,Ayios Ioannis,HT,34.8959,33.0204,58.01,58,53,10.94,broken clouds
221,Chuy,HT,-33.6971,-53.4616,72.41,50,1,10.63,clear sky
222,Vostok,HT,46.4856,135.8833,-9.02,98,52,5.03,broken clouds
223,Bambanglipuro,HT,-7.95,110.2833,78.58,84,95,6.78,overcast clouds
224,Kurumkan,HT,54.3,110.3,-5.46,89,15,5.75,few clouds
225,Kavieng,HT,-2.5744,150.7967,80.8,75,98,3.78,overcast clouds
226,Airai,HT,-8.9266,125.4092,61.45,93,99,5.19,light rain
227,Caravelas,HT,-17.7125,-39.2481,82.96,61,66,6.02,broken clouds
228,Iquique,HT,-20.2208,-70.1431,66.24,65,86,5.26,overcast clouds
229,Solone,HT,48.2081,34.8721,44.65,84,99,12.59,overcast clouds
230,Katsuura,HT,35.1333,140.3,47.82,58,81,7.9,broken clouds
231,Buchanan,HT,5.8808,-10.0467,86.47,61,49,3.53,scattered clouds
232,Port Hardy,HT,50.6996,-127.4199,42.98,93,100,20.71,moderate rain
233,Pietarsaari,HT,63.65,22.6833,35.01,98,100,11.41,overcast clouds
234,Kawhia,HT,-38.0651,174.8183,63.01,85,8,8.41,clear sky
235,Puerto Colombia,HT,10.9878,-74.9547,77.09,84,0,15.75,clear sky
236,Ancud,HT,-41.8697,-73.8203,54.0,72,68,4.68,broken clouds
237,Mayen,HT,50.3333,7.2167,48.34,77,98,12.88,overcast clouds
238,Cuenca,HT,-2.8833,-78.9833,51.93,87,68,3.44,broken clouds
239,Zuwarah,HT,32.9312,12.082,66.18,35,0,5.06,clear sky
240,Hamilton,HT,39.1834,-84.5333,56.25,69,75,10.36,broken clouds
241,Fairbanks,HT,64.8378,-147.7164,-7.64,79,0,0.0,clear sky
242,Storforshei,HT,66.4043,14.5233,33.58,75,75,4.61,broken clouds
243,Morros,HT,-9.4467,-46.3003,78.98,68,58,7.2,broken clouds
244,Chongqing,HT,29.5628,106.5528,53.22,65,0,5.01,clear sky
245,La Ronge,HT,55.1001,-105.2842,-7.35,77,75,4.61,broken clouds
246,Santiago Del Estero,HT,-27.7951,-64.2615,83.3,32,0,13.24,clear sky
247,Dzaoudzi,HT,-12.7887,45.2699,80.49,83,75,10.36,light rain
248,Brantford,HT,43.1334,-80.2664,52.23,95,100,11.92,overcast clouds
249,Bima,HT,-8.4667,118.7167,76.35,96,99,5.06,overcast clouds
250,Tucuman,HT,-26.8241,-65.2226,73.4,64,0,10.36,clear sky
251,Muros,HT,42.7762,-9.0603,62.1,89,100,26.28,overcast clouds
252,Sitka,HT,57.0531,-135.33,42.69,75,100,11.5,moderate rain
253,Coari,HT,-4.085,-63.1414,74.8,96,100,1.14,overcast clouds
254,La Macarena,HT,2.1837,-73.7849,75.24,69,56,4.18,broken clouds
255,Iqaluit,HT,63.7506,-68.5145,-18.31,75,20,21.85,few clouds
256,Abu Dhabi,HT,24.4667,54.3667,75.31,47,0,9.22,clear sky
257,Tasiilaq,HT,65.6145,-37.6368,8.76,61,7,5.57,clear sky
258,Krasnyy Chikoy,HT,50.3643,108.7512,0.18,100,100,2.75,overcast clouds
259,Mana,HT,5.6592,-53.7767,77.92,87,26,7.76,scattered clouds
260,High Level,HT,58.5169,-117.136,-13.68,100,97,2.21,overcast clouds
261,Ketchikan,HT,55.3422,-131.6461,44.58,93,100,3.44,mist
262,Bilma,HT,18.6853,12.9164,72.03,17,0,5.28,clear sky
263,Ilhabela,HT,-23.7781,-45.3581,72.5,93,100,5.55,overcast clouds
264,Shingu,HT,33.7333,135.9833,38.03,76,13,7.36,few clouds
265,Sao Filipe,HT,14.8961,-24.4956,73.06,55,13,4.36,few clouds
266,Tornio,HT,65.8481,24.1466,28.42,96,100,14.74,snow
267,Manta,HT,-0.95,-80.7333,74.98,88,75,4.61,broken clouds
268,Rio Gallegos,HT,-51.6226,-69.2181,50.05,50,0,24.16,clear sky
269,Nagod,HT,24.5667,80.6,68.25,33,1,4.79,clear sky
270,Gimbi,HT,9.1667,35.8333,70.2,46,92,1.21,overcast clouds
271,Soe,HT,-9.8607,124.284,69.6,78,99,10.49,overcast clouds
272,Riyadh,HT,24.6877,46.7219,50.14,79,100,9.42,heavy intensity rain
273,Katima Mulilo,HT,-17.5,24.2667,92.7,26,68,7.7,broken clouds
274,Kizukuri,HT,40.8061,140.3861,33.53,78,100,11.43,light snow
275,Asau,HT,46.4333,26.4,47.32,73,45,7.2,scattered clouds
276,Turayf,HT,31.6725,38.6637,53.85,50,20,12.66,few clouds
277,Saskylakh,HT,71.9167,114.0833,-2.09,85,100,23.64,overcast clouds
278,Presidencia Roque Saenz Pena,HT,-26.7852,-60.4388,86.2,29,0,8.84,clear sky
279,Ribeira Grande,HT,38.5167,-28.7,61.2,77,40,27.63,light rain
280,Maragogi,HT,-9.0122,-35.2225,81.45,73,24,11.45,few clouds
281,Ihosy,HT,-22.4,46.1167,83.59,48,32,1.28,scattered clouds
282,Tha Bo,HT,17.85,102.5814,71.49,68,61,4.61,broken clouds
283,Lundazi,HT,-12.2929,33.1782,66.63,89,100,1.45,light rain
284,Keffi,HT,8.8486,7.8736,89.83,13,55,5.08,broken clouds
285,Barra Patuca,HT,15.8,-84.2833,71.82,94,43,5.01,light rain
286,Rio Grande,HT,-32.035,-52.0986,72.23,59,0,11.1,clear sky
287,Den Helder,HT,52.9599,4.7593,44.98,83,100,38.99,overcast clouds
288,Moyale,HT,3.5167,39.0584,85.57,23,19,19.93,few clouds
289,Port Hedland,HT,-20.3167,118.5667,89.65,58,87,12.66,overcast clouds
290,Orsha,HT,54.5153,30.4053,34.05,100,100,10.07,overcast clouds
291,Faya,HT,18.3851,42.4509,64.51,48,46,13.4,scattered clouds
292,Amahai,HT,-3.3333,128.9167,80.46,75,100,5.57,overcast clouds
293,Ipira,HT,-12.1583,-39.7372,78.78,63,36,6.42,scattered clouds
294,Kawalu,HT,-7.3817,108.2082,73.98,92,93,3.22,overcast clouds
295,Labrea,HT,-7.2586,-64.7981,72.91,99,100,3.24,overcast clouds
296,Lorengau,HT,-2.0226,147.2712,78.82,82,100,6.62,overcast clouds
297,Kattivakkam,HT,13.2167,80.3167,84.29,71,1,7.49,clear sky
298,Praya,HT,14.9215,-23.5087,75.74,53,20,12.66,few clouds
299,Bealanana,HT,-14.55,48.7333,78.13,51,17,6.49,light rain
300,Bonthe,HT,7.5264,-12.505,88.63,46,51,3.02,broken clouds
301,Shizunai,HT,42.3339,142.3669,27.7,73,96,8.41,overcast clouds
302,Dennery,HT,13.8996,-60.8879,78.89,83,40,23.02,scattered clouds
303,Lebu,HT,-37.6167,-73.65,59.31,82,23,22.32,few clouds
304,Kalmunai,HT,7.4167,81.8167,78.53,70,100,8.7,overcast clouds
305,Isugod,HT,9.3408,118.1196,78.37,85,99,2.35,overcast clouds
306,Rosetta,HT,31.4044,30.4164,65.91,62,7,8.66,clear sky
307,Lasa,HT,46.6166,10.7002,47.28,91,67,4.7,broken clouds
308,Namatanai,HT,-3.6667,152.4333,78.37,82,87,4.36,light rain
309,Atar,HT,20.5169,-13.0499,72.52,46,92,34.92,light rain
310,Lima,HT,-12.0432,-77.0282,68.9,85,100,11.5,overcast clouds
311,Guerrero,HT,17.6667,-100.0,61.72,61,100,3.02,overcast clouds
312,San Cristobal,HT,7.7669,-72.225,66.38,85,23,1.28,few clouds
313,Mikhaylovskoye,HT,51.8239,79.7172,12.63,97,100,3.44,overcast clouds
314,Katobu,HT,-4.9408,122.5276,78.78,82,100,7.49,light rain
315,Belyy Yar,HT,53.6039,91.3903,-7.71,92,73,2.24,mist
316,Porto Murtinho,HT,-21.6989,-57.8825,85.06,30,30,5.39,scattered clouds
317,Urucui,HT,-7.2294,-44.5561,84.81,56,7,5.41,clear sky
318,Chistogorskiy,HT,53.9835,87.3843,-5.73,100,97,1.1,overcast clouds
319,Kushmurun,HT,52.4503,64.6311,18.36,96,99,4.5,light snow
320,Flinders,HT,-34.5833,150.8552,68.38,89,20,4.5,light rain
321,Morgan City,HT,29.6994,-91.2068,68.02,94,100,10.36,light rain
322,Hambantota,HT,6.1241,81.1185,86.34,66,20,12.66,few clouds
323,Omboue,HT,-1.5746,9.2618,83.84,71,96,6.33,light rain
324,Mbandaka,HT,0.0487,18.2603,88.7,35,92,3.18,overcast clouds
325,Grindavik,HT,63.8424,-22.4338,16.27,67,20,8.05,few clouds
326,Rincon,HT,32.296,-81.2354,57.16,87,100,3.44,overcast clouds
327,Kaniama,HT,-7.5667,24.1833,73.44,84,100,1.83,light rain
328,Zhezkazgan,HT,47.8043,67.7144,26.58,93,100,8.95,mist
329,Homburg,HT,49.3167,7.3333,48.52,67,0,9.22,clear sky
330,Manokwari,HT,-0.8667,134.0833,78.73,77,100,8.7,overcast clouds
331,Ranong,HT,9.9658,98.6348,82.33,79,98,5.99,overcast clouds
332,Sokoto,HT,13.0609,5.239,81.14,9,1,19.93,clear sky
333,Cooma,HT,-36.2333,149.1333,57.72,98,98,3.78,overcast clouds
334,Williston,HT,48.147,-103.618,8.82,100,92,3.87,overcast clouds
