City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nanortalik,GL,2022-12-30 06:56:26,60.1432,-45.2371,16.75,74,2,8.81
68,Oxford,GB,2022-12-30 06:56:20,51.7522,-1.256,49.21,87,75,23.02
69,Dikson,RU,2022-12-30 06:56:26,73.5069,80.5464,-14.69,97,100,20.0
70,Mmabatho,ZA,2022-12-30 06:56:27,-25.85,25.6333,67.96,73,100,8.05
71,Bluff,NZ,2022-12-30 06:56:28,-46.6,168.3333,55.06,62,83,11.14
72,Zambezi,ZM,2022-12-30 06:56:28,-13.5432,23.1047,72.48,78,87,4.43
73,Port Alfred,ZA,2022-12-30 06:56:28,-33.5906,26.891,69.19,67,40,1.01
74,Nalut,LY,2022-12-30 06:56:30,30.3333,10.85,49.03,45,0,6.89
75,Najran,SA,2022-12-30 06:55:05,17.4924,44.1277,54.25,41,100,4.27
76,Shache,CN,2022-12-30 06:56:31,38.4167,77.2406,27.72,32,100,2.3
77,Vestmanna,FO,2022-12-30 06:56:31,62.1564,-7.1664,31.12,64,75,13.8
78,The Valley,AI,2022-12-30 06:56:32,18.217,-63.0578,78.1,77,14,22.82
79,Tasiilaq,GL,2022-12-30 06:56:32,65.6145,-37.6368,-6.21,71,9,5.37
80,Sao Joao Da Barra,BR,2022-12-30 06:56:33,-21.6403,-41.0511,72.59,95,100,6.44
81,Lagoa,PT,2022-12-30 06:56:33,39.05,-27.9833,60.44,84,100,27.38
82,Cape Town,ZA,2022-12-30 06:54:05,-33.9258,18.4232,70.12,54,0,11.01
83,Damghan,IR,2022-12-30 06:56:34,36.1683,54.348,42.08,41,0,1.68
84,Fare,PF,2022-12-30 06:56:34,-16.7,-151.0167,80.82,76,12,15.5
85,Udachnyy,RU,2022-12-30 06:56:35,66.4167,112.4,-13.59,94,100,21.7
86,Hervey Bay,AU,2022-12-30 06:56:35,-25.2986,152.8535,75.99,84,99,19.04
87,Thompson,CA,2022-12-30 06:56:36,55.7435,-97.8558,5.16,85,100,5.75
88,Kodiak,US,2022-12-30 06:56:36,57.79,-152.4072,36.91,100,100,5.75
89,Skibbereen,IE,2022-12-30 06:56:37,51.55,-9.2667,50.11,86,100,19.64
90,Narsaq,GL,2022-12-30 06:56:37,60.9167,-46.05,0.3,64,0,6.71
91,Payo,ID,2022-12-30 06:57:38,-3.7508,103.6372,83.26,70,87,4.47
92,Naze,JP,2022-12-30 06:57:38,28.3667,129.4833,52.72,86,100,15.93
93,Codrington,AU,2022-12-30 06:57:39,-38.2667,141.9667,66.83,74,4,12.41
94,Canon City,US,2022-12-30 06:57:39,38.441,-105.2424,29.52,69,0,3.44
95,Kamaishi,JP,2022-12-30 06:57:40,39.2667,141.8833,36.32,68,53,9.46
96,Lompoc,US,2022-12-30 06:57:40,34.6391,-120.4579,56.79,84,100,5.3
97,Zhezkazgan,KZ,2022-12-30 06:57:41,47.8043,67.7144,21.18,93,100,6.71
98,La Ronge,CA,2022-12-30 06:57:41,55.1001,-105.2842,-3.75,77,75,1.14
99,Butaritari,KI,2022-12-30 06:57:42,3.0707,172.7902,81.07,78,64,11.88
100,Tiznit,MA,2022-12-30 06:57:42,29.5833,-9.5,59.9,32,58,5.21
101,Viedma,AR,2022-12-30 06:57:43,-40.8135,-62.9967,61.79,74,36,6.4
102,Luderitz,NA,2022-12-30 06:57:43,-26.6481,15.1594,76.91,40,0,12.15
103,Arraial Do Cabo,BR,2022-12-30 06:57:44,-22.9661,-42.0278,72.3,93,100,2.28
104,Vila Velha,BR,2022-12-30 06:57:45,-20.3297,-40.2925,76.95,90,40,8.05
105,Kolpashevo,RU,2022-12-30 06:57:45,58.3131,82.9089,7.66,94,100,8.66
106,Quatre Cocos,MU,2022-12-30 06:57:46,-20.2078,57.7625,82.51,63,1,9.75
107,Pozhva,RU,2022-12-30 06:57:47,59.0912,56.0847,11.71,91,100,9.4
108,La Orilla,MX,2022-12-30 06:57:47,17.9833,-102.2333,71.49,76,100,5.17
109,Ribeira Grande,PT,2022-12-30 06:57:48,38.5167,-28.7,60.78,89,100,15.01
110,Vaini,TO,2022-12-30 06:57:48,-21.2,-175.2,75.36,94,100,10.36
111,Acapulco,MX,2022-12-30 06:57:49,16.8634,-99.8901,76.68,66,100,6.91
112,Rocha,UY,2022-12-30 06:57:49,-34.4833,-54.3333,52.57,86,0,7.05
113,Saint-Philippe,RE,2022-12-30 06:57:50,-21.3585,55.7679,82.11,76,46,4.81
114,Tabuk,PH,2022-12-30 06:57:50,17.4189,121.4443,71.76,88,100,8.41
115,Qaanaaq,GL,2022-12-30 06:57:51,77.484,-69.3632,-23.55,72,54,6.55
116,Schluchtern,DE,2022-12-30 06:57:51,50.3489,9.5253,43.54,95,50,6.15
117,Pryazha,RU,2022-12-30 06:57:52,61.6926,33.6216,24.03,88,100,9.86
118,Bira,RU,2022-12-30 06:57:52,49.0,132.4667,4.26,96,61,2.55
119,Santa Lucia,ES,2022-12-30 06:57:53,27.9117,-15.5407,60.76,64,20,6.91
120,Pictou,CA,2022-12-30 06:57:54,45.6834,-62.7153,29.64,80,88,11.5
121,Bredasdorp,ZA,2022-12-30 06:57:54,-34.5322,20.0403,66.61,43,98,17.6
122,Husavik,IS,2022-12-30 06:57:55,66.0449,-17.3389,20.37,71,100,18.05
123,Davydovo,RU,2022-12-30 06:57:55,55.6097,38.8569,30.02,97,100,5.19
124,Meylan,FR,2022-12-30 06:57:56,45.2199,5.7901,48.58,88,100,4.41
125,Ponta Do Sol,PT,2022-12-30 06:57:56,32.6667,-17.1,67.12,27,83,6.15
126,Limon,CR,2022-12-30 06:57:57,10.0,-83.0333,73.06,82,59,3.11
127,Krasnoselkup,RU,2022-12-30 06:57:57,65.7,82.4667,-13.04,97,21,8.57
128,Ambon,ID,2022-12-30 06:57:58,-3.6954,128.1814,87.94,66,40,11.5
129,Castro,BR,2022-12-30 06:57:58,-24.7911,-50.0119,60.13,95,96,7.63
130,Tenango,MX,2022-12-30 06:57:59,18.65,-98.1833,63.12,52,83,1.39
131,Muros,ES,2022-12-30 06:57:59,42.7762,-9.0603,61.09,89,100,24.61
132,Meulaboh,ID,2022-12-30 06:58:00,4.1363,96.1285,82.71,68,100,6.64
133,Sao Luiz Gonzaga,BR,2022-12-30 06:55:00,-28.4083,-54.9608,62.98,35,0,6.73
134,Faya,SA,2022-12-30 06:58:01,18.3851,42.4509,59.11,68,100,7.7
135,Pasighat,IN,2022-12-30 06:59:01,28.0667,95.3333,71.94,37,3,3.8
136,Grindavik,IS,2022-12-30 06:59:03,63.8424,-22.4338,14.47,79,20,0.0
137,Zhigansk,RU,2022-12-30 06:59:03,66.7697,123.3711,-19.37,98,100,2.37
138,Tofield,CA,2022-12-30 06:59:04,53.3668,-112.6686,12.18,98,100,8.21
139,Gasa,PS,2022-12-30 06:59:04,31.5,34.4667,60.87,53,0,2.1
140,Gwanda,ZW,2022-12-30 06:59:05,-20.9333,29.0,86.54,28,2,13.65
141,Klaksvik,FO,2022-12-30 06:59:05,62.2266,-6.589,32.92,64,96,21.09
142,Havelock,US,2022-12-30 06:59:06,34.8791,-76.9013,55.35,92,0,3.2
143,Barrow,US,2022-12-30 06:59:07,71.2906,-156.7887,-4.14,95,100,13.8
144,Grand Gaube,MU,2022-12-30 06:59:08,-20.0064,57.6608,82.8,73,6,6.89
145,Champasak,LA,2022-12-30 06:59:08,14.75,106.0,83.28,31,41,6.76
146,Lebu,CL,2022-12-30 06:59:09,-37.6167,-73.65,56.46,92,22,20.29
147,Olinda,BR,2022-12-30 06:59:10,-8.0089,-34.8553,80.33,74,40,8.05
148,Saskylakh,RU,2022-12-30 06:59:12,71.9167,114.0833,-1.16,85,100,22.5
149,Nantucket,US,2022-12-30 06:57:46,41.2835,-70.0995,44.15,91,80,14.45
150,Nyurba,RU,2022-12-30 06:59:13,63.2842,118.3319,-33.83,100,91,4.38
151,Hasaki,JP,2022-12-30 06:59:14,35.7333,140.8333,54.28,37,96,1.97
152,Karlstad,SE,2022-12-30 06:59:14,59.3793,13.5036,39.76,93,75,12.66
153,Yulara,AU,2022-12-30 06:59:16,-25.2406,130.9889,87.49,39,100,13.22
154,Korla,CN,2022-12-30 06:59:17,41.7597,86.1469,25.02,46,100,6.71
155,Souillac,MU,2022-12-30 06:59:17,-20.5167,57.5167,82.78,61,20,5.75
156,Tshane,BW,2022-12-30 06:59:19,-24.0196,21.8684,77.38,51,91,13.78
157,Turinsk,RU,2022-12-30 06:59:20,58.0458,63.696,-4.22,100,99,2.64
158,Port Hedland,AU,2022-12-30 06:59:21,-20.3167,118.5667,93.25,49,72,24.16
159,Turayf,SA,2022-12-30 06:59:22,31.6725,38.6637,41.25,93,40,8.05
