City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tura,IN,2022-12-18 02:33:04,25.5198,90.2201,68.22,70,0,2.44
68,Mataura,NZ,2022-12-18 02:33:04,-46.1927,168.8643,56.48,75,100,4.52
69,Arawa,PG,2022-12-18 02:33:05,-6.2132,155.5367,85.19,74,77,3.87
70,Salinas,US,2022-12-18 02:30:08,36.6777,-121.6555,51.89,64,0,3.44
71,Kiama,AU,2022-12-18 02:33:06,-34.6833,150.8667,71.26,58,85,17.6
72,Tasiilaq,GL,2022-12-18 02:33:06,65.6145,-37.6368,14.16,45,0,5.55
73,Ponta Delgada,PT,2022-12-18 02:33:07,37.7333,-25.6667,66.51,82,40,24.16
74,Victoria,HK,2022-12-18 02:31:42,22.2855,114.1577,54.25,26,14,15.99
75,Vaini,TO,2022-12-18 02:33:08,-21.2,-175.2,86.16,70,20,10.36
76,Lima,PE,2022-12-18 02:28:24,-12.0432,-77.0282,70.9,78,0,13.8
77,Omboue,GA,2022-12-18 02:33:09,-1.5746,9.2618,75.94,89,97,5.57
78,Bengkulu,ID,2022-12-18 02:33:09,-3.8004,102.2655,82.94,64,21,4.81
79,Labuan,MY,2022-12-18 02:33:10,5.2767,115.2417,84.56,79,20,5.01
80,Longyearbyen,SJ,2022-12-18 02:33:11,78.2186,15.6401,6.64,72,40,8.05
81,Laramie,US,2022-12-18 02:33:11,41.3114,-105.5911,22.95,57,0,6.91
82,Warrington,GB,2022-12-18 02:33:12,53.3925,-2.5802,35.35,92,97,1.01
83,Atar,MR,2022-12-18 02:33:12,20.5169,-13.0499,67.87,37,6,9.04
84,Nantucket,US,2022-12-18 02:30:40,41.2835,-70.0995,42.91,66,100,13.8
85,Porto Belo,BR,2022-12-18 02:33:13,-27.1578,-48.5531,71.55,70,100,6.26
86,Chuy,UY,2022-12-18 02:33:14,-33.6971,-53.4616,64.98,64,100,9.62
87,Yining,CN,2022-12-18 02:33:15,29.0361,114.5636,44.13,20,0,0.78
88,Ilulissat,GL,2022-12-18 02:33:15,69.2167,-51.1,17.62,49,40,21.85
89,Lompoc,US,2022-12-18 02:33:16,34.6391,-120.4579,52.21,87,0,0.0
90,Chenzhou,CN,2022-12-18 02:33:17,25.8,113.0333,42.66,30,0,5.17
91,Busselton,AU,2022-12-18 02:33:17,-33.65,115.3333,79.72,40,6,4.54
92,Hambantota,LK,2022-12-18 02:34:18,6.1241,81.1185,79.14,89,75,2.3
93,San Patricio,US,2022-12-18 02:34:18,28.017,-97.5169,54.84,46,52,6.38
94,Zabol,AF,2022-12-18 02:34:19,32.25,67.25,38.97,48,0,4.85
95,Narasannapeta,IN,2022-12-18 02:34:19,18.4167,84.05,73.08,66,94,6.26
96,Lasa,IT,2022-12-18 02:34:21,46.6166,10.7002,24.03,38,38,3.15
97,Hella,NO,2022-12-18 02:34:21,67.2,14.4333,30.34,64,20,26.46
98,Olafsvik,IS,2022-12-18 02:34:22,64.8945,-23.7142,27.79,77,100,22.95
99,Airai,TL,2022-12-18 02:34:22,-8.9266,125.4092,71.33,66,61,2.68
100,Preobrazheniye,RU,2022-12-18 02:34:23,42.9019,133.9064,6.82,53,37,14.0
101,Iqaluit,CA,2022-12-18 02:34:23,63.7506,-68.5145,24.53,68,40,12.66
102,Kapaa,US,2022-12-18 02:32:09,22.0752,-159.319,79.12,82,75,6.91
103,Mar Del Plata,AR,2022-12-18 02:34:24,-38.0023,-57.5575,66.09,73,0,13.0
104,Starchiojd,RO,2022-12-18 02:34:24,45.3167,26.1833,36.68,81,98,5.19
105,Farah,AF,2022-12-18 02:34:25,32.5,62.5,43.65,49,7,1.92
106,Maiduguri,NG,2022-12-18 02:34:26,11.8464,13.1603,66.92,33,100,6.44
107,Isangel,VU,2022-12-18 02:34:27,-19.55,169.2667,87.91,62,3,9.22
108,Lannion,FR,2022-12-18 02:34:28,48.75,-3.4167,32.14,84,100,1.99
109,Nikolskoye,RU,2022-12-18 02:34:29,59.7035,30.7861,-5.42,100,60,1.66
110,Kodiak,US,2022-12-18 02:34:29,57.79,-152.4072,36.91,75,100,6.91
111,Jumla,NP,2022-12-18 02:34:31,29.2747,82.1838,49.42,17,0,1.72
112,Saint George,US,2022-12-18 02:30:49,37.1041,-113.5841,36.63,54,0,3.44
113,Torbay,CA,2022-12-18 02:34:32,47.6666,-52.7314,37.58,96,100,18.41
114,Filingue,NE,2022-12-18 02:34:32,14.3521,3.3168,69.55,21,28,9.37
115,Rio Grande,BR,2022-12-18 02:34:33,-32.035,-52.0986,68.63,58,100,15.32
116,Merauke,ID,2022-12-18 02:34:33,-8.4667,140.3333,84.27,73,98,6.44
117,Sorong,ID,2022-12-18 02:34:34,-0.8833,131.25,79.09,85,100,9.33
118,Russell,US,2022-12-18 02:34:35,32.3502,-85.1999,42.4,77,50,4.21
119,Bethel,US,2022-12-18 02:30:08,41.3712,-73.414,38.48,67,100,8.05
120,Sur,OM,2022-12-18 02:34:36,22.5667,59.5289,72.37,67,0,6.82
121,Mitsamiouli,KM,2022-12-18 02:34:36,-11.3847,43.2844,80.11,80,87,8.99
122,Havre-Saint-Pierre,CA,2022-12-18 02:34:37,50.2334,-63.5986,28.4,80,100,21.85
123,Smithers,CA,2022-12-18 02:34:37,54.7804,-127.1743,8.92,61,75,5.75
124,Lucapa,AO,2022-12-18 02:34:38,-8.4192,20.7447,65.01,97,100,1.99
125,Takoradi,GH,2022-12-18 02:33:19,4.8845,-1.7554,78.46,83,36,6.06
126,Talaya,RU,2022-12-18 02:34:39,61.3833,152.75,-11.67,97,100,7.0
127,Bystryy Istok,RU,2022-12-18 02:34:39,52.371,84.3873,8.96,85,100,9.35
128,Upernavik,GL,2022-12-18 02:34:40,72.7868,-56.1549,17.02,49,100,5.23
129,Khuzhir,RU,2022-12-18 02:34:41,53.1939,107.3397,11.75,68,5,8.43
130,East London,ZA,2022-12-18 02:34:41,-33.0153,27.9116,68.09,84,97,8.23
131,Kharabali,RU,2022-12-18 02:34:42,47.4196,47.2568,31.82,90,21,8.81
132,Hamilton,US,2022-12-18 02:32:08,39.1834,-84.5333,31.73,74,100,16.11
133,Opuwo,NA,2022-12-18 02:34:43,-18.0607,13.84,65.53,53,80,4.09
134,Katsuura,JP,2022-12-18 02:34:44,35.1333,140.3,51.82,57,89,25.72
135,Saveh,IR,2022-12-18 02:34:45,35.0213,50.3566,48.69,62,97,1.32
136,Eskilstuna,SE,2022-12-18 02:34:45,59.3666,16.5077,33.58,83,100,13.94
137,La Tuque,CA,2022-12-18 02:32:44,47.4334,-72.7824,28.65,100,100,4.61
138,Camacha,PT,2022-12-18 02:35:46,33.0833,-16.3333,63.82,72,40,13.8
139,Te Anau,NZ,2022-12-18 02:35:47,-45.4167,167.7167,56.75,79,100,5.93
140,Port Alfred,ZA,2022-12-18 02:35:48,-33.5906,26.891,66.18,88,100,10.6
141,Vitim,RU,2022-12-18 02:35:49,59.4511,112.5578,-4.79,99,100,1.72
142,Mogadishu,SO,2022-12-18 02:33:07,2.0371,45.3438,76.77,77,9,15.99
143,Rapar,IN,2022-12-18 02:35:50,23.5667,70.6333,73.36,32,54,5.68
144,Anadyr,RU,2022-12-18 02:35:50,64.75,177.4833,27.1,80,40,26.84
145,Ondjiva,AO,2022-12-18 02:35:51,-17.0667,15.7333,74.46,38,99,7.99
146,Rawson,AR,2022-12-18 02:35:51,-43.3002,-65.1023,66.09,52,45,9.15
147,Skeldon,GY,2022-12-18 02:35:52,5.8833,-57.1333,74.66,95,100,6.02
148,Ahipara,NZ,2022-12-18 02:35:52,-35.1667,173.1667,69.93,74,100,5.91
149,Sistranda,NO,2022-12-18 02:35:53,63.7256,8.834,28.36,63,100,12.1
150,Virginia Beach,US,2022-12-18 02:35:54,36.8529,-75.978,41.02,68,0,3.44
151,Kruisfontein,ZA,2022-12-18 02:35:54,-34.0033,24.7314,63.88,90,100,7.23
152,Tevriz,RU,2022-12-18 02:35:55,57.509,72.4042,2.23,97,68,6.22
153,Cabedelo,BR,2022-12-18 02:35:56,-6.9811,-34.8339,79.47,71,85,10.29
154,Tocopilla,CL,2022-12-18 02:32:23,-22.092,-70.1979,67.59,73,0,1.28
155,Geraldton,AU,2022-12-18 02:34:17,-28.7667,114.6,91.81,21,0,19.57
156,Key West,US,2022-12-18 02:32:16,24.5557,-81.7826,82.4,86,100,0.0
157,Grande Prairie,CA,2022-12-18 02:35:57,55.1667,-118.8027,-3.82,77,100,8.05
158,Alofi,NU,2022-12-18 02:35:58,-19.0595,-169.9187,85.89,70,35,9.22
159,Mahebourg,MU,2022-12-18 02:35:58,-20.4081,57.7,78.26,78,40,13.8
160,Neiafu,TO,2022-12-18 02:35:59,-18.65,-173.9833,84.88,79,20,5.75
161,Guayaramerin,BO,2022-12-18 02:36:00,-10.8368,-65.3614,73.29,83,39,1.07
162,Malindi,KE,2022-12-18 02:36:00,-3.2175,40.1191,77.68,86,10,10.63
163,Necochea,AR,2022-12-18 02:36:00,-38.5473,-58.7368,61.9,60,2,18.88
164,Mount Pleasant,US,2022-12-18 02:36:01,32.7941,-79.8626,57.2,66,100,8.05
165,Phalaborwa,ZA,2022-12-18 02:36:01,-23.943,31.1411,74.48,91,98,9.33
166,Samarai,PG,2022-12-18 02:36:02,-10.6167,150.6667,84.25,71,99,8.16
167,Sivaki,RU,2022-12-18 02:36:03,52.6333,126.75,-10.17,82,97,10.78
168,Ranibennur,IN,2022-12-18 02:36:03,14.6167,75.6167,72.01,76,42,10.18
169,Araouane,ML,2022-12-18 02:36:04,18.9048,-3.5265,67.17,17,0,8.61
170,Beringovskiy,RU,2022-12-18 02:36:04,63.05,179.3167,29.46,82,100,16.13
171,San Andres,CO,2022-12-18 02:36:05,12.5847,-81.7006,82.42,74,75,13.8
